,Unnamed: 0,RA,DEC,Redshift,TrueLabels,labels
9773,9773,247.146187,39.492989,0.0326053333333333,ABELL 2199,1779
5987,5987,247.149399,39.55357,0.0299483333333333,ABELL 2199,1779
10532,10532,247.149408,39.719809,0.036958,ABELL 2199,1779
5990,5990,247.150269,39.533714,0.0283456666666666,ABELL 2199,1779
10436,10436,247.15043,40.497442,0.0288443333333333,ABELL 2197,1776
9963,9963,247.153462,41.064129,0.0307423333333333,ABELL 2197,1776
9945,9945,247.15377,40.934253,0.0332383333333333,ABELL 2197,1776
10561,10561,247.155007,39.445417,0.0340096666666666,ABELL 2199,1779
9806,9806,247.155317,39.699027,0.03119,ABELL 2199,1779
5993,5993,247.157982,41.163941,0.0302966666666666,ABELL 2197,1776
11221,11221,247.158042,39.505111,0.0340266666666666,ABELL 2199,1779
5994,5994,247.159618,39.551332,0.0311576666666666,ABELL 2199,1779
11204,11204,247.159667,39.737917,0.0248366666666666,ABELL 2199,1779
5992,5992,247.160718,39.083255,0.0310333333333333,ABELL 2199,1779
10533,10533,247.160747,39.579977,0.0308283333333333,ABELL 2199,1779
10310,10310,247.163058,39.552768,0.0267106666666666,ABELL 2199,1779
11243,11243,247.163166,39.460361,0.0312733333333333,ABELL 2199,1779
11241,11241,247.163208,39.494389,0.0292033333333333,ABELL 2199,1779
5991,5991,247.163365,39.518492,0.0251593333333333,ABELL 2199,1779
5989,5989,247.164599,40.123691,0.0257453333333333,ABELL 2199,1779
5995,5995,247.16484,41.111012,0.0332363333333333,ABELL 2197,1776
11183,11183,247.167167,39.74675,0.0309366666666666,ABELL 2199,1779
11260,11260,247.167167,39.066806,0.0277766666666666,ABELL 2199,1779
9803,9803,247.168403,39.671328,0.0281746666666666,ABELL 2199,1779
841,841,247.16922,12.765583,0.026904,CGB332,1801
953,953,247.171296,12.762082,0.0266186666666666,CGB332,1801
11194,11194,247.171458,39.493222,0.0299433333333333,ABELL 2199,1779
2472,2472,247.17223,12.763561,0.02683,CGB332,1801
5996,5996,247.173519,41.136962,0.032258,ABELL 2197,1776
9820,9820,247.173749,39.837448,0.0297916666666666,ABELL 2199,1779
6004,6004,247.175077,39.500271,0.0276906666666666,ABELL 2199,1779
5988,5988,247.176146,40.123859,0.033544,ABELL 2199,1779
11242,11242,247.1785,39.267417,0.0331633333333333,ABELL 2199,1779
9760,9760,247.178739,39.388436,0.0300333333333333,ABELL 2199,1779
11173,11173,247.179958,39.848333,0.0252366666666666,ABELL 2199,1779
10534,10534,247.18042,39.568813,0.0340036666666666,ABELL 2199,1779
9881,9881,247.180799,40.538623,0.0281093333333333,ABELL 2197,1776
11206,11206,247.181334,39.48825,0.03403,ABELL 2199,1779
10460,10460,247.182337,40.491473,0.031804,ABELL 2197,1776
10535,10535,247.183551,39.964484,0.0294086666666666,ABELL 2199,1779
11267,11267,247.18375,39.880806,0.03157,ABELL 2199,1779
11269,11269,247.184334,39.621639,0.02926,ABELL 2199,1779
6001,6001,247.185195,39.473892,0.027165,ABELL 2199,1779
5999,5999,247.185246,39.515551,0.027339,ABELL 2199,1779
6000,6000,247.185319,39.48452,0.0336806666666666,ABELL 2199,1779
842,842,247.185423,39.638916,0.0286686666666666,CGA283,1802
